"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"10/20/2016","Travel Insurance Polic","TRAVEL INSURANCE POLIC RICHMOND, VA, US on 10/20/2016","21.88","debit","Air Travel","Investor Checking","",""
"10/20/2016","Pierpont Commons","U-GO'S PIERPONT COMMONS ANN ARBOR, MI, US on 10/20/2016","7.55","debit","Education","Investor Checking","",""
"10/20/2016","American Airlines","AMERICAN AIRLI AA GBOEN CENTRALIZED T, OK, US on 10/20/2016","263.10","debit","Air Travel","Investor Checking","",""
"10/20/2016","Delta","DELTA ATLANTA, GA, US on 10/20/2016","131.60","debit","Air Travel","Investor Checking","",""
"10/21/2016","Pnc Bank","PNCBANK 1100 S UNIVERSI ANN ARBOR","33.50","debit","Financial","Investor Checking","",""
"10/20/2016","Mujo Cafe","MUJO'S CAFE ANN ARBOR, MI #0000001","3.00","debit","Coffee Shops","Investor Checking","",""
"10/20/2016","Continental","USA*CONTINENTAL SEANN ARBOR, MI #0000001","2.20","debit","Fast Food","Investor Checking","",""
"10/20/2016","Venmo","VENMO PAYMENT","9.00","debit","Sports","Investor Checking","",""
"10/20/2016","Venmo","VENMO PAYMENT","15.00","debit","Gas & Fuel","Investor Checking","",""
"10/19/2016","Deposit Pncbank Xtransfr","ACH Deposit PNCBANK_XTRANSFR    P2P","434.00","credit","Income","Campus Card Student Checking","",""
"10/19/2016","7-Eleven","7-ELEVEN 1300 S UNIVERS ANN ARBOR","5.97","debit","Fast Food","Investor Checking","",""
"10/19/2016","Thorntons","THORNTONS #557 SPRINGBORO, OH #000000","2.55","debit","Coffee Shops","Investor Checking","",""
"10/19/2016","Mujo Cafe","MUJO'S CAFE ANN ARBOR, MI #0000001","2.55","debit","Coffee Shops","Investor Checking","",""
"10/19/2016","Ahmos North Campus","AHMOS NORTH CAMPUSANN ARBOR, MI #0000001","7.41","debit","Restaurants","Investor Checking","",""
"10/19/2016","Mujo Cafe","MUJO'S CAFE ANN ARBOR, MI #0000001","3.80","debit","Coffee Shops","Investor Checking","",""
"10/17/2016","Venmo","VENMO PAYMENT","7.00","debit","Fast Food","Investor Checking","",""
"10/16/2016","Chick-Fil-A","CHICK-FIL-A #02593FLORENCE, KY #00000019","8.11","debit","Fast Food","Investor Checking","",""
"10/16/2016","iTunes","APL* ITUNES.COM/BI866-712-7753, CA #0000","0.99","debit","Music","Investor Checking","",""
"10/15/2016","Kroger","KROGER 179 W. COLLEGE S STANTON","34.39","debit","Groceries","Investor Checking","",""
"10/15/2016","Pancheros Mexican Grill","PANCHEROS MEXICAN ANN ARBOR, MI #0000001","11.40","debit","Restaurants","Investor Checking","",""
"10/15/2016","Jimmy John's","JIMMY JOHNS # 9001734-913-9200, MI #0000","7.35","debit","Restaurants","Investor Checking","",""
"10/14/2016","Fuel Mart Gran","FUEL MART 714 2185 GRAN N BALTIMORE","3.20","debit","Fast Food","Investor Checking","",""
"10/14/2016","Pancheros Mexican Grill","PANCHEROS MEXICAN ANN ARBOR, MI #0000001","7.42","debit","Restaurants","Investor Checking","",""
"10/14/2016","Beeminder Or","BEEMINDER 646-535-2336, OR #0000","30.00","debit","Fees & Charges","Investor Checking","",""
"10/13/2016","Venmo Cashout Tran - Oct Rent","VENMO CASHOUT ~ Tran: ACHDD","739.00","credit","Rental Income","Investor Checking","",""
"10/13/2016","Continental","USA*CONTINENTAL SEANN ARBOR, MI #0000001","1.60","debit","Fast Food","Investor Checking","",""
"10/13/2016","Mujo Cafe","MUJO'S CAFE ANN ARBOR, MI #0000001","2.39","debit","Coffee Shops","Investor Checking","",""
"10/12/2016","Tcf Bank- for Aparrel","TCF BANK 1123 S UNIVERS ANN ARBOR","103.00","debit","Sporting Goods","Investor Checking","",""
"10/12/2016","Mighty Good","SQ *MIGHTY GOOD COANN ARBOR, MI #0000001","12.00","debit","Coffee Shops","Investor Checking","",""
